categoria,nome,descricao,ingredients,preco,imagem,code,sortOrder,isActive,isAvailable,showInDelivery,showInDineIn,hasVariants,servingSize,portionInfo,modificadores,tags,upsellHints,channelNote
"RODIZIO PRESENCIAL","RODIZIO PRESENCIAL","RODIZIO : 99,00 POR PESSOA CRIANÇAS: ATÉ 5 ANOS NÃO PAGAM 6 Á 10 ANOS 49,90 *ENTRADAS* CEVICHE SUNOMONO SHIMEJI CANAPÉ DE SALMÃO HARUMAKI (ROLINHO PRIMAVERA QUEIJO) GUIOZA PASTELZINHO SHIMEJI PASTELZINHO QUEIJO *CARPACCIOS* CARPACCIO SALMÃO CARPACCIO TILÁPIA CARPACCIO SALMÃO COM MOLHO DE ERVAS *HOT HOLL* HOT HOLL HOT CRISPY *TEMAKIS* SALMÃO SALMÃO GRELHADO TEMAKI HOT HOLL SALMÃO SHIMEJI SHIMEJI SKIN CALIFÓRNIA *PRATOS QUENTES* CAMARÃO EMPANADO LULA DORÊ YAKISSOBA YAKIMESHI TEPPAN SALMÃO LULA A DORÊ MISSÔSHIRO FILÉZINHO GRATINADO *COMBO SUSHI* COMBINADO DE SUSHIS VARIADOS *SASHIMI* SALMÃO ATUM TILÁPIA SALMÃO FLAMBADO *JHOW* SALMÃO SALMÃO FLAMBADO PEPINO MARACUJÁ GELEIA OVAS *NIGUIRI* SALMÃO ATUM SALMÃO FLAMBADO KANI SKIN TILÁPIA *URAMAKI* SALMÃO SALMÃO GRELHADO ESPECIAL SKIN CALIFÓRNIA *HOSSOMAKI* SALMÃO PEPINO KANI *SOBREMESAS* HOT DOCE DE LEITE HOT CHOCOLATE BOLA DE SORVETE BANANA EMPANADA c/leite condensado e canela","","99","https://cdn.neemo.com.br/uploads/item/photo/2710303/photo1756325207.jpeg","","1","true","true","false","true","false","","","","","","presencial_only"
"FESTIVAL CAZZA (DELIVERY)","FESTIVAL CAZZA (DELIVERY)","Entradas: Sunomono Ceviche Pratos quentes: Yakisoba 01 Teppan de salmão 04 harumaki queijo 02 Guioza tiras de frango empanado Pratos frios: 02 temaki (cru ou grelhado) 10 sashimi salmão 05 uramaki salmão 05 hossomaki salmão 02 niguiri salmão 02 niguiri cazza 02 niguiri skin 12 hot roll Sobremesa: Banana empanada com leite condensado polvilhada com canela","","199","https://cdn.neemo.com.br/uploads/item/photo/970292/photo1724225413.jpeg.webp","","1","true","true","true","true","true","","","[Opcional] Escolha sua opção: Salmão Cru / Salmão Grelhado","","",""
"ENTRADAS","Ceviche","Peixe branco cortado em cubos marinado no suco de limão, cebola roxa, pimenta e cebolinha.","","62.9","https://cdn.neemo.com.br/uploads/item/photo/970279/325125_original.jpg","","1","true","true","true","true","false","","","","","",""
"ENTRADAS","Carpaccio de Salmão (20 Lâminas)","20 lâminas de salmão finas regadas ao molho a base de shoyu, limão e cebolinha.","","72","https://cdn.neemo.com.br/uploads/item/photo/970280/c9996acd834cbeaf810bc257183b72a7.jpg","","2","true","true","true","true","false","","20 lâminas","","","",""
"ENTRADAS","Sunomono","Típica salada de pepino oriental agridoce.","","24","https://cdn.neemo.com.br/uploads/item/photo/970283/sunomono.jpg","","3","true","true","true","true","false","","","","","",""
"ENTRADAS","Shimeji","Cogumelos salteados na manteiga, shoyu e cobinha.","","30","https://cdn.neemo.com.br/uploads/item/photo/970281/SHIMEJI.jpg","","4","true","true","true","true","false","","","","","",""
"ENTRADAS","Guioza (06 Unidades)","","","28","https://cdn.neemo.com.br/uploads/item/photo/970286/68bf0ef705a832e831c27dc5083235f5.jpg","","5","true","true","true","true","false","","06 unidades","","","",""
"ENTRADAS","Harumaki de Queijo (05 Unidades)","Famoso rolinho primavera da cozinha oriental.","","29.9","https://cdn.neemo.com.br/uploads/item/photo/970285/HARUMAKI.jpg","","6","true","true","true","true","false","","05 unidades","","","",""
"COMBOS","COMBO AYANE","02 Temaki (Cru Ou Grelhado) 06 Sashimi Salmão 05 Uramaki Salmão 06 Hot Holl 02 Niguiri 02 Jhow","","132.9","https://cdn.neemo.com.br/uploads/item/photo/2551663/photo1732344546.jpeg.webp","","1","true","true","true","true","true","2","","[Opcional] Escolha sua opção: Salmão Cru / Salmão Grelhado","","",""
"COMBOS","Combo 1 (32 Unidades)","12 hot roll 05 niguiri salmão flambado 05 uramaki salmão grelhado 05 hossomaki kani 05 batera de salmão grelhado","","82.9","https://cdn.neemo.com.br/uploads/item/photo/970751/photo1724224627.jpeg.webp","","2","true","true","true","true","false","2","32 unidades","","","",""
"COMBOS","Combo 2 (18 Unidades)","06 hot roll 05 hossomaki salmão 05 hossomaki kani 02 niguiri salmão","","47.9","https://cdn.neemo.com.br/uploads/item/photo/970752/ifood_38.jpg","","3","true","true","true","true","false","1","18 unidades","","","",""
"COMBOS","Combo Temaki + Hot + Refri","01Temaki salmão (cru ou grelhado) 06 hot roll Refri 350ml","","58.9","https://cdn.neemo.com.br/uploads/item/photo/970442/photo1724224710.jpeg.webp","","4","true","true","true","true","true","1","","[Opcional] Escolha sua opção: Salmão Cru / Salmão Grelhado","","",""
"COMBOS","Combo Flambado (21 Unidades)","06 niguiri salmão flambado 04 jhow salmão flambado 06 hot roll 05 uramaki salmão grelhado","","72.9","https://cdn.neemo.com.br/uploads/item/photo/970441/photo1724224834.jpeg.webp","","5","true","true","true","true","false","2","21 unidades","","","",""
"COMBOS","COMBO AKEMI","02 TEMAKIS (CRU OU GRELHADO) 05 URAMAKIS SALMÃO","","72.9","https://cdn.neemo.com.br/uploads/item/photo/2504179/photo1726637627.jpeg.webp","","6","true","true","true","true","false","1","","","","",""
